기업번호,발간연도,국가,작성기준,전체쪽수,보고서제목,검증여부,검증형태,비교연도,정보공시1,정보공시2
449,4,2,2,48,1,0,0,3,6,4
450,4,2,2,102,2,0,0,0,6,4
451,4,2,2,77,1,1,2,1,13,13
452,4,2,2,100,2,0,0,4,15,14
453,4,2,2,75,1,1,2,0,5,4
454,4,2,2,47,1,0,0,0,4,5
455,4,2,2,122,1,1,2,3,16,12
456,4,2,2,54,1,1,2,4,13,20
457,4,2,2,31,2,0,0,0,4,8
458,4,2,2,50,1,0,0,0,11,6
459,4,2,2,63,2,0,0,0,9,8
460,4,2,2,66,5,0,0,0,5,5
461,4,2,2,117,1,1,2,0,15,17
462,4,2,2,58,1,0,0,3,8,11
463,4,2,2,24,2,1,2,0,11,5
464,4,2,2,40,2,1,2,0,6,8
465,4,2,2,107,1,1,2,0,9,7
466,4,2,2,44,1,1,2,0,20,23
467,4,2,2,37,1,0,0,0,4,4
468,4,2,2,88,2,1,2,0,9,12
469,4,2,2,49,5,0,0,0,15,15
470,4,2,2,58,2,1,2,0,13,21
471,4,2,2,45,2,0,0,0,4,7
472,4,2,2,28,2,0,0,0,4,6
473,4,2,2,94,1,1,2,0,7,7
474,4,2,2,49,2,0,0,0,12,8
475,4,2,2,150,2,0,0,0,8,5
476,4,2,2,88,2,0,0,0,13,8
477,4,2,2,34,2,0,0,0,6,2
